name,birdweb_society_link,ecoregion,jan_abundance,feb_abundance,mar_abundance,apr_abundance,may_abundance,jun_abundance,jul_abundance,aug_abundance,sep_abundance,oct_abundance,nov_abundance,dec_abundance
Pacific Loon,http://becomewww.birdweb.org/BIRDWEB/bird/pacific_loon,oceanic,,,,,U,,,,U,U,,
Common Loon,http://becomewww.birdweb.org/BIRDWEB/bird/common_loon,oceanic,,,,,U,,,,,,,
Laysan Albatross,http://becomewww.birdweb.org/BIRDWEB/bird/laysan_albatross,oceanic,R,R,R,R,,,,,,R,R,R
Black-footed Albatross,http://becomewww.birdweb.org/BIRDWEB/bird/black-footed_albatross,oceanic,R,R,R,C,C,C,C,C,C,C,U,R
Northern Fulmar,http://becomewww.birdweb.org/BIRDWEB/bird/northern_fulmar,oceanic,C,C,C,C,C,C,C,C,C,C,C,C
Pink-footed Shearwater,http://becomewww.birdweb.org/BIRDWEB/bird/pink-footed_shearwater,oceanic,,,R,C,C,C,C,C,C,C,U,
Flesh-footed Shearwater,http://becomewww.birdweb.org/BIRDWEB/bird/flesh-footed_shearwater,oceanic,,,,R,R,R,R,R,U,U,U,
Buller's Shearwater,http://becomewww.birdweb.org/BIRDWEB/bird/bullers_shearwater,oceanic,,,,,,,R,U,C,C,U,
Sooty Shearwater,http://becomewww.birdweb.org/BIRDWEB/bird/sooty_shearwater,oceanic,,,R,C,C,C,C,C,C,C,R,R
Short-tailed Shearwater,http://becomewww.birdweb.org/BIRDWEB/bird/short-tailed_shearwater,oceanic,U,U,U,R,,,,,R,R,R,U
Manx Shearwater,http://becomewww.birdweb.org/BIRDWEB/bird/manx_shearwater,oceanic,,,,R,R,R,R,R,R,R,,
Fork-tailed Storm-Petrel,http://becomewww.birdweb.org/BIRDWEB/bird/fork-tailed_storm-petrel,oceanic,,,,U,F,F,F,F,F,U,,
Leach's Storm-Petrel,http://becomewww.birdweb.org/BIRDWEB/bird/leachs_storm-petrel,oceanic,,,,U,U,U,F,F,U,U,,
Brandt's Cormorant,http://becomewww.birdweb.org/BIRDWEB/bird/brandts_cormorant,oceanic,,,,U,U,,,U,U,U,,
Red-necked Phalarope,http://becomewww.birdweb.org/BIRDWEB/bird/red-necked_phalarope,oceanic,,,,U,C,R,C,U,U,U,,
Red Phalarope,http://becomewww.birdweb.org/BIRDWEB/bird/red_phalarope,oceanic,,,,U,U,R,U,U,U,U,R,R
California Gull,http://becomewww.birdweb.org/BIRDWEB/bird/california_gull,oceanic,R,R,R,R,U,F,C,C,C,C,R,R
Herring Gull,http://becomewww.birdweb.org/BIRDWEB/bird/herring_gull,oceanic,C,C,C,C,U,,,,R,U,C,C
Thayer's Gull,http://becomewww.birdweb.org/BIRDWEB/bird/thayers_gull,oceanic,U,U,U,U,,,,,,U,U,U
Western Gull,http://becomewww.birdweb.org/BIRDWEB/bird/western_gull,oceanic,C,C,C,C,C,C,C,C,C,C,C,C
Glaucous-winged Gull,http://becomewww.birdweb.org/BIRDWEB/bird/glaucous-winged_gull,oceanic,C,C,C,C,C,C,C,C,C,C,C,C
Glaucous Gull,http://becomewww.birdweb.org/BIRDWEB/bird/glaucous_gull,oceanic,R,R,R,R,,,,,,R,R,R
Sabine's Gull,http://becomewww.birdweb.org/BIRDWEB/bird/sabines_gull,oceanic,,,,F,C,U,F,F,C,F,,
Black-legged Kittiwake,http://becomewww.birdweb.org/BIRDWEB/bird/black-legged_kittiwake,oceanic,C,C,C,F,,,,,,U,C,C
Arctic Tern,http://becomewww.birdweb.org/BIRDWEB/bird/arctic_tern,oceanic,,,,U,U,R,U,F,F,R,,
South Polar Skua,http://becomewww.birdweb.org/BIRDWEB/bird/south_polar_skua,oceanic,,,,,,R,U,F,F,F,,
Pomarine Jaeger,http://becomewww.birdweb.org/BIRDWEB/bird/pomarine_jaeger,oceanic,R,R,R,U,F,U,F,F,F,F,R,R
Parasitic Jaeger,http://becomewww.birdweb.org/BIRDWEB/bird/parasitic_jaeger,oceanic,,,,U,U,U,U,U,U,U,,
Long-tailed Jaeger,http://becomewww.birdweb.org/BIRDWEB/bird/long-tailed_jaeger,oceanic,,,,,R,,U,F,U,R,,
Common Murre,http://becomewww.birdweb.org/BIRDWEB/bird/common_murre,oceanic,C,C,C,C,C,C,C,C,C,C,C,C
Pigeon Guillemot,http://becomewww.birdweb.org/BIRDWEB/bird/pigeon_guillemot,oceanic,R,R,R,R,R,R,U,U,U,U,R,R
Xantus's Murrelet,http://becomewww.birdweb.org/BIRDWEB/bird/xantuss_murrelet,oceanic,,,,,,,R,R,R,R,,
Ancient Murrelet,http://becomewww.birdweb.org/BIRDWEB/bird/ancient_murrelet,oceanic,F,F,F,F,U,U,U,U,U,U,F,F
Cassin's Auklet,http://becomewww.birdweb.org/BIRDWEB/bird/cassins_auklet,oceanic,F,F,F,F,F,F,F,F,F,F,F,F
Rhinoceros Auklet,http://becomewww.birdweb.org/BIRDWEB/bird/rhinoceros_auklet,oceanic,C,C,C,C,C,C,C,C,C,C,C,C
Tufted Puffin,http://becomewww.birdweb.org/BIRDWEB/bird/tufted_puffin,oceanic,R,R,R,F,F,F,F,F,F,F,R,R
Greater White-fronted Goose,http://becomewww.birdweb.org/BIRDWEB/bird/greater_white-fronted_goose,pacific_northwest_coast,U,U,U,F,F,,,U,U,U,U,U
Snow Goose,http://becomewww.birdweb.org/BIRDWEB/bird/snow_goose,pacific_northwest_coast,R,R,R,R,,,,,,R,R,R
Brant,http://becomewww.birdweb.org/BIRDWEB/bird/brant,pacific_northwest_coast,C,F,F,F,U,,,,U,F,C,C
Cackling Goose,http://becomewww.birdweb.org/BIRDWEB/bird/cackling_goose,pacific_northwest_coast,F,F,F,F,F,,,,F,F,F,F
Canada Goose,http://becomewww.birdweb.org/BIRDWEB/bird/canada_goose,pacific_northwest_coast,C,C,C,C,C,C,C,C,C,C,C,C
Trumpeter Swan,http://becomewww.birdweb.org/BIRDWEB/bird/trumpeter_swan,pacific_northwest_coast,U,U,U,R,,,,,,R,U,U
Tundra Swan,http://becomewww.birdweb.org/BIRDWEB/bird/tundra_swan,pacific_northwest_coast,U,U,U,R,R,,,,,R,U,U
Wood Duck,http://becomewww.birdweb.org/BIRDWEB/bird/wood_duck,pacific_northwest_coast,R,R,R,F,F,F,F,F,U,R,R,R
Gadwall,http://becomewww.birdweb.org/BIRDWEB/bird/gadwall,pacific_northwest_coast,F,F,C,C,C,U,U,U,C,C,C,C
Eurasian Wigeon,http://becomewww.birdweb.org/BIRDWEB/bird/eurasian_wigeon,pacific_northwest_coast,U,U,U,R,,,,,R,U,U,U
American Wigeon,http://becomewww.birdweb.org/BIRDWEB/bird/american_wigeon,pacific_northwest_coast,C,C,C,C,C,R,R,U,C,C,C,C
Mallard,http://becomewww.birdweb.org/BIRDWEB/bird/mallard,pacific_northwest_coast,C,C,C,C,C,C,C,C,C,C,C,C
Blue-winged Teal,http://becomewww.birdweb.org/BIRDWEB/bird/blue-winged_teal,pacific_northwest_coast,,,,R,U,U,U,U,U,R,,
Cinnamon Teal,http://becomewww.birdweb.org/BIRDWEB/bird/cinnamon_teal,pacific_northwest_coast,R,R,U,U,F,F,F,F,U,R,R,R
Northern Shoveler,http://becomewww.birdweb.org/BIRDWEB/bird/northern_shoveler,pacific_northwest_coast,F,F,F,C,U,R,R,U,U,F,F,F
Northern Pintail,http://becomewww.birdweb.org/BIRDWEB/bird/northern_pintail,pacific_northwest_coast,C,C,C,C,C,R,R,U,C,C,C,C
Green-winged Teal,http://becomewww.birdweb.org/BIRDWEB/bird/green-winged_teal,pacific_northwest_coast,C,C,C,C,F,R,R,U,C,C,C,C
