bird_name,item_taxon,diet_percentage
Laysan Albatross,Arthropoda [arthropods],26.691665199999992
Laysan Albatross,Chordata [chordates],2.1135164
Laysan Albatross,Cnidaria [cnidarians],11.3857167
Laysan Albatross,Mollusca [molluscs],58.667121300000005
Laysan Albatross,Unid. Unknown,1.1419806
Black-footed Albatross,Arthropoda [arthropods],2.900000000000001
Black-footed Albatross,Chordata [chordates],70.8
Black-footed Albatross,Heterokontophyta,3.75
Black-footed Albatross,Mollusca [molluscs],16.1
Black-footed Albatross,Unid. Unknown,5.55
Northern Fulmar,Arthropoda [arthropods],46.65555555555555
Northern Fulmar,Chordata [chordates],36.28888888888889
Northern Fulmar,Mollusca [molluscs],17.433333333333334
Northern Fulmar,Unid. Animalia,10.955555555555556
Pink-footed Shearwater,Chordata [chordates],10.5
Pink-footed Shearwater,Mollusca [molluscs],89.60000000000001
Sooty Shearwater,Arthropoda [arthropods],35.60000000000001
Sooty Shearwater,Chordata [chordates],44.34
Sooty Shearwater,Mollusca [molluscs],18.6
Short-tailed Shearwater,Arthropoda [arthropods],48.8
Short-tailed Shearwater,Chordata [chordates],5.7
Short-tailed Shearwater,Mollusca [molluscs],16.1
Short-tailed Shearwater,Unid. Animalia,29.4
Manx Shearwater,Mollusca [molluscs],100
Fork-tailed Storm-Petrel,Arthropoda [arthropods],31.481968375
Fork-tailed Storm-Petrel,Chordata [chordates],67.537068975
Leach's Storm-Petrel,Arthropoda [arthropods],45.2735515
Leach's Storm-Petrel,Chordata [chordates],22.9266185
Leach's Storm-Petrel,Cnidaria [cnidarians],29.2508854
Leach's Storm-Petrel,Unid. Animalia,1.6666666666666667
Brandt's Cormorant,Chordata [chordates],97.7758620689655
California Gull,Chordata [chordates],8.35
California Gull,Mollusca [molluscs],38.9
California Gull,Unid. Animalia,2.8000000000000003
California Gull,Unid. Non-biological,50
Herring Gull,Arthropoda [arthropods],5.25
Herring Gull,Chordata [chordates],23.25
Herring Gull,Unid. Animalia,66.5
Herring Gull,Unid. Unknown,4.25
