bird_name,item_taxon,diet_percentage
Laysan Albatross,Amphipoda [amphipods],0.15
Laysan Albatross,Anthoathecatae,11.39
Laysan Albatross,"Beloniformes [needlefishes, halfbeaks, and allies]",0.78
Laysan Albatross,Decapoda [decapods],0.65
Laysan Albatross,Euphausiacea [krill],24.12
Laysan Albatross,"Hemiptera [true bugs, hoppers, aphids, and allies]",0.03
Laysan Albatross,Isopoda [isopods],0.29
Laysan Albatross,Leptostraca,0.03
Laysan Albatross,Lophogastrida,0.44
Laysan Albatross,Myctophiformes [lanternfishes],0.09
Laysan Albatross,Neotaenioglossa,0.09
Laysan Albatross,Perciformes [perch-like fishes],0.05
Laysan Albatross,Pyrosomida,0.43
Laysan Albatross,Stomatopoda [mantis shrimps],0.02
Laysan Albatross,Stomiiformes,0.12
Laysan Albatross,Tetraodontiformes [puffers and filefishes],0.24
Laysan Albatross,Teuthida,3.58
Laysan Albatross,Unid. Arthropoda,0.95
Laysan Albatross,Unid. Cephalopoda,54.95
Laysan Albatross,Unid. Chordata,0.41
Laysan Albatross,Unid. Mollusca,0.05
Laysan Albatross,Unid. Unknown,1.14
Black-footed Albatross,Amphipoda [amphipods],0.5
Black-footed Albatross,Anthoathecatae,0.3
Black-footed Albatross,"Beloniformes [needlefishes, halfbeaks, and allies]",0.9
Black-footed Albatross,"Beloniformes egg [needlefishes, halfbeaks, and allies]",22.1
Black-footed Albatross,Decapoda [decapods],0.45
Black-footed Albatross,Euphausiacea [krill],0.05
Black-footed Albatross,Fucales,0.05
Black-footed Albatross,"Hemiptera [true bugs, hoppers, aphids, and allies]",0.05
Black-footed Albatross,Isopoda [isopods],0.5
Black-footed Albatross,Lepidoptera larva [caterpillars],0.05
Black-footed Albatross,Leptostraca,0.05
Black-footed Albatross,Lophogastrida,0.6
Black-footed Albatross,Octopoda [octopuses],0.1
Black-footed Albatross,Perciformes [perch-like fishes],0.3
Black-footed Albatross,Procellariiformes [tubenoses],0.2
Black-footed Albatross,Pyrosomida,0.25
Black-footed Albatross,Scorpaeniformes [mail-cheeked fishes],31.75
Black-footed Albatross,Siphonostomatoida [siphon-mouth copepods],0.05
Black-footed Albatross,Stomiiformes,0.05
Black-footed Albatross,Teuthida,1.95
Black-footed Albatross,Unid. Animalia,0.45
Black-footed Albatross,Unid. Arthropoda,0.6
Black-footed Albatross,Unid. Cephalopoda,14.05
Black-footed Albatross,Unid. Chordata,15.25
Black-footed Albatross,Unid. Echinoidea,0.5
Black-footed Albatross,Unid. Phaeophyceae,3.75
Black-footed Albatross,Unid. Unknown,5.55
Northern Fulmar,Amphipoda [amphipods],0.94
Northern Fulmar,Clupeiformes [herrings],11.11
Northern Fulmar,Decapoda [decapods],12.41
Northern Fulmar,Euphausiacea [krill],19.19
Northern Fulmar,Gadiformes [cods],1.5
Northern Fulmar,Isopoda [isopods],2.33
Northern Fulmar,Lophogastrida,4.0
Northern Fulmar,Myctophiformes [lanternfishes],5.79
Northern Fulmar,Mysida [opossum shrimps],0.02
Northern Fulmar,Octopoda [octopuses],0.41
Northern Fulmar,Perciformes [perch-like fishes],11.11
Northern Fulmar,Scorpaeniformes [mail-cheeked fishes],0.41
Northern Fulmar,Stephanoberyciformes,0.03
Northern Fulmar,Stomiiformes,0.11
Northern Fulmar,Teuthida,9.86
Northern Fulmar,Unid. Animalia,10.96
Northern Fulmar,Unid. Arthropoda,7.76
Northern Fulmar,Unid. Cephalopoda,7.13
Northern Fulmar,Unid. Cephalopoda juvenile,0.03
Northern Fulmar,Unid. Chordata,6.22
Pink-footed Shearwater,Clupeiformes [herrings],8.9
Pink-footed Shearwater,Teuthida,83.8
Pink-footed Shearwater,Unid. Cephalopoda,5.8
Pink-footed Shearwater,Unid. Chordata,1.6
Sooty Shearwater,Amphipoda [amphipods],0.04
Sooty Shearwater,Batrachoidiformes [toadfishes],0.04
Sooty Shearwater,Clupeiformes [herrings],10.02
Sooty Shearwater,Decapoda [decapods],0.12
Sooty Shearwater,Euphausiacea [krill],32.08
Sooty Shearwater,Gadiformes [cods],0.68
Sooty Shearwater,Myctophiformes [lanternfishes],10.38
Sooty Shearwater,Salpida,0.04
Sooty Shearwater,Scorpaeniformes [mail-cheeked fishes],10.86
Sooty Shearwater,Stomatopoda [mantis shrimps],1.52
Sooty Shearwater,Stomiiformes,10.28
Sooty Shearwater,Teuthida,8.32
Sooty Shearwater,Unid. Arthropoda,1.84
Sooty Shearwater,Unid. Cephalopoda,10.24
Sooty Shearwater,Unid. Chordata,2.04
Sooty Shearwater,Unid. Gastropoda,0.04
Short-tailed Shearwater,Amphipoda [amphipods],13.0
Short-tailed Shearwater,Teuthida,16.1
Short-tailed Shearwater,Unid. Animalia,29.4
Short-tailed Shearwater,Unid. Chordata,5.7
Short-tailed Shearwater,Unid. Malacostraca,35.8
Manx Shearwater,Teuthida,100.0
Fork-tailed Storm-Petrel,Amphipoda [amphipods],5.91
Fork-tailed Storm-Petrel,Calanoida [calanoid copepods],12.91
Fork-tailed Storm-Petrel,Decapoda [decapods],0.75
Fork-tailed Storm-Petrel,Decapoda larva [decapods],0.98
Fork-tailed Storm-Petrel,Euphausiacea [krill],10.94
Fork-tailed Storm-Petrel,Gadiformes [cods],0.43
Fork-tailed Storm-Petrel,Myctophiformes [lanternfishes],64.13
Fork-tailed Storm-Petrel,Scorpaeniformes [mail-cheeked fishes],0.29
Fork-tailed Storm-Petrel,Unid. Cephalopoda,0.81
Fork-tailed Storm-Petrel,Unid. Chordata,2.69
Leach's Storm-Petrel,Amphipoda [amphipods],10.0
Leach's Storm-Petrel,Euphausiacea [krill],28.79
Leach's Storm-Petrel,Myctophiformes [lanternfishes],18.33
Leach's Storm-Petrel,Unid. Animalia,1.67
Leach's Storm-Petrel,Unid. Arthropoda,6.49
Leach's Storm-Petrel,Unid. Chordata,4.59
Leach's Storm-Petrel,Unid. Hydrozoa,29.25
Leach's Storm-Petrel,Unid. Mollusca,0.88
Brandt's Cormorant,Atheriniformes [silversides],0.32
Brandt's Cormorant,Batrachoidiformes [toadfishes],2.15
Brandt's Cormorant,Clupeiformes [herrings],27.23
Brandt's Cormorant,Isopoda [isopods],0.59
Brandt's Cormorant,Osmeriformes [smelts and allies],0.24
Brandt's Cormorant,Perciformes [perch-like fishes],2.45
Brandt's Cormorant,Pleuronectiformes [flatfishes],31.17
Brandt's Cormorant,Scorpaeniformes [mail-cheeked fishes],20.06
Brandt's Cormorant,Teuthida,0.49
Brandt's Cormorant,Unid. Cephalopoda,0.27
Brandt's Cormorant,Unid. Chordata,14.15
California Gull,Clupeiformes [herrings],8.35
California Gull,Teuthida,38.9
California Gull,Unid. Animalia,2.8
California Gull,Unid. Non-biological,50.0
Herring Gull,Decapoda [decapods],5.25
Herring Gull,Gadiformes [cods],22.5
Herring Gull,Rodentia [rodents],0.25
Herring Gull,Unid. Animalia,66.5
Herring Gull,Unid. Aves,0.25
Herring Gull,Unid. Teleostei,0.25
Herring Gull,Unid. Unknown,4.25
Glaucous-winged Gull,Clupeiformes [herrings],5.0
Glaucous-winged Gull,Decapoda [decapods],1.67
Glaucous-winged Gull,Forcipulatida [forcipulatidan sea stars],5.1
Glaucous-winged Gull,Gadiformes [cods],0.6
Glaucous-winged Gull,Osmeriformes [smelts and allies],27.83
Glaucous-winged Gull,Perciformes [perch-like fishes],32.83
Glaucous-winged Gull,Teuthida,20.0
Glaucous-winged Gull,Unid. Arthropoda,1.67
Glaucous-winged Gull,Unid. Cephalopoda,1.67
Glaucous-winged Gull,Unid. Chordata,4.1
Black-legged Kittiwake,Amphipoda [amphipods],0.6
Black-legged Kittiwake,Chitonida,0.16
Black-legged Kittiwake,Decapoda [decapods],1.05
Black-legged Kittiwake,Diptera [flies],0.02
Black-legged Kittiwake,Euphausiacea [krill],4.62
Black-legged Kittiwake,Gadiformes [cods],12.86
Black-legged Kittiwake,Isopoda [isopods],0.02
Black-legged Kittiwake,Myctophiformes [lanternfishes],2.26
Black-legged Kittiwake,Osmeriformes [smelts and allies],12.66
Black-legged Kittiwake,Perciformes [perch-like fishes],43.42
Black-legged Kittiwake,"Salmoniformes egg [salmons, trouts, and whitefishes]",0.46
Black-legged Kittiwake,Unid. Arthropoda,0.02
Black-legged Kittiwake,Unid. Cephalopoda,0.46
Black-legged Kittiwake,Unid. Chordata,20.54
Arctic Tern,Euphausiacea [krill],5.0
Arctic Tern,Isopoda [isopods],1.2
Arctic Tern,Osmeriformes [smelts and allies],35.6
Arctic Tern,Perciformes [perch-like fishes],31.1
Arctic Tern,Scorpaeniformes [mail-cheeked fishes],11.05
Arctic Tern,Unid. Chordata,14.75
Arctic Tern,Unid. Solenogastres,1.2
South Polar Skua,Charadriiformes [shorebirds and allies],8.8
South Polar Skua,Euphausiacea [krill],8.85
South Polar Skua,Sphenisciformes,4.7
South Polar Skua,Unid. Animalia,4.7
South Polar Skua,Unid. Chordata,72.95
Common Murre,Amphipoda [amphipods],0.08
Common Murre,Atheriniformes [silversides],0.22
Common Murre,Batrachoidiformes [toadfishes],1.69
Common Murre,Clupeiformes [herrings],12.12
Common Murre,Decapoda [decapods],4.78
Common Murre,Euphausiacea [krill],1.99
Common Murre,Gadiformes [cods],17.68
Common Murre,Lophogastrida,0.09
Common Murre,Mysida [opossum shrimps],3.17
Common Murre,Octopoda [octopuses],0.14
Common Murre,Ophidiiformes [cusk-eels],0.28
Common Murre,Osmeriformes [smelts and allies],6.11
Common Murre,Perciformes [perch-like fishes],14.37
Common Murre,Pleuronectiformes [flatfishes],3.89
Common Murre,Scorpaeniformes [mail-cheeked fishes],17.6
Common Murre,Teuthida,10.86
Common Murre,Unid. Arthropoda,0.18
Common Murre,Unid. Cephalopoda,0.07
Common Murre,Unid. Chordata,2.55
Common Murre,Unid. Malacostraca,0.03
Common Murre,Unid. Mollusca,0.01
Pigeon Guillemot,Decapoda [decapods],16.33
Pigeon Guillemot,Unid. Chordata,71.33
Ancient Murrelet,Euphausiacea [krill],28.25
Ancient Murrelet,Perciformes [perch-like fishes],3.75
Ancient Murrelet,Pleuronectiformes [flatfishes],1.05
Ancient Murrelet,Scorpaeniformes [mail-cheeked fishes],22.2
Ancient Murrelet,Unid. Cephalopoda,0.5
Ancient Murrelet,Unid. Chordata,44.25
Cassin's Auklet,Amphipoda [amphipods],1.57
Cassin's Auklet,Amphipoda juvenile [amphipods],0.04
Cassin's Auklet,Calanoida [calanoid copepods],39.6
Cassin's Auklet,Decapoda [decapods],7.15
Cassin's Auklet,Decapoda larva [decapods],0.14
Cassin's Auklet,Euphausiacea [krill],17.17
Cassin's Auklet,Euphausiacea juvenile [krill],6.57
Cassin's Auklet,Pedunculata [gooseneck barnacles],0.02
Cassin's Auklet,Perciformes [perch-like fishes],0.01
Cassin's Auklet,Scorpaeniformes [mail-cheeked fishes],0.32
Cassin's Auklet,Siphonostomatoida [siphon-mouth copepods],0.0
Cassin's Auklet,Unid. Animalia,11.2
Cassin's Auklet,Unid. Cephalopoda,0.35
Cassin's Auklet,Unid. Chordata,14.95
Cassin's Auklet,Unid. Chordata egg,1.06
Cassin's Auklet,Unid. Scyphozoa,0.01
Rhinoceros Auklet,Clupeiformes [herrings],9.25
Rhinoceros Auklet,Osmeriformes [smelts and allies],3.85
Rhinoceros Auklet,Perciformes [perch-like fishes],43.55
Rhinoceros Auklet,"Salmoniformes [salmons, trouts, and whitefishes]",16.85
Rhinoceros Auklet,Scorpaeniformes [mail-cheeked fishes],1.98
Rhinoceros Auklet,Scorpaeniformes larva [mail-cheeked fishes],0.23
Rhinoceros Auklet,Teuthida,17.6
Rhinoceros Auklet,Unid. Cephalopoda,0.85
Rhinoceros Auklet,Unid. Chordata,4.28
Tufted Puffin,Amphipoda [amphipods],0.59
Tufted Puffin,Gadiformes [cods],8.91
Tufted Puffin,Osmeriformes [smelts and allies],37.57
Tufted Puffin,Perciformes [perch-like fishes],40.31
Tufted Puffin,Phyllodocida,3.59
Tufted Puffin,Pleuronectiformes [flatfishes],0.05
Tufted Puffin,"Salmoniformes [salmons, trouts, and whitefishes]",0.49
Tufted Puffin,Scorpaeniformes [mail-cheeked fishes],0.34
Tufted Puffin,Unid. Cephalopoda,5.56
Tufted Puffin,Unid. Chordata,2.12
Greater White-fronted Goose,Alismatales [water plantains and allies],3.03
Greater White-fronted Goose,"Caryophyllales [pinks, cactuses, and allies]",0.43
Greater White-fronted Goose,"Ericales [heathers, balsams, primroses, and allies]",1.39
Greater White-fronted Goose,"Fabales [legumes, milkworts, and allies]",0.58
Greater White-fronted Goose,"Poales [grasses, sedges, and allies]",85.84
Greater White-fronted Goose,"Solanales [nightshades, bindweeds, gooseweeds, and allies]",4.33
Greater White-fronted Goose,Unid. Animalia,0.19
Greater White-fronted Goose,Unid. Magnoliopsida,2.0
Greater White-fronted Goose,Unid. Tracheophyta,2.2
Snow Goose,Alismatales [water plantains and allies],2.52
Snow Goose,"Caryophyllales [pinks, cactuses, and allies]",1.55
Snow Goose,Equisetales [horsetails],3.69
Snow Goose,"Fabales [legumes, milkworts, and allies]",3.47
Snow Goose,"Lamiales [mints, plantains, olives, and allies]",0.28
Snow Goose,"Malpighiales [nances, willows, and allies]",0.41
Snow Goose,"Poales [grasses, sedges, and allies]",69.94
Snow Goose,Unid. Animalia,0.01
Snow Goose,Unid. Magnoliopsida,1.25
Snow Goose,Unid. Tracheophyta,16.19
Snow Goose,"Zingiberales [gingers, bananas, and allies]",0.7
Brant,Alismatales [water plantains and allies],21.12
Brant,"Asterales [asters, bellflowers, fanflowers, and allies]",1.22
Brant,"Poales [grasses, sedges, and allies]",2.43
Brant,Ulvales [sea lettuces and allies],16.67
Brant,Unid. Chlorophyta,41.91
Brant,Unid. Tracheophyta,16.67
Canada Goose,Alismatales [water plantains and allies],0.31
Canada Goose,"Asterales [asters, bellflowers, fanflowers, and allies]",0.72
Canada Goose,Equisetales [horsetails],0.84
Canada Goose,"Ericales [heathers, balsams, primroses, and allies]",0.64
Canada Goose,"Fabales [legumes, milkworts, and allies]",7.92
Canada Goose,"Lamiales [mints, plantains, olives, and allies]",0.59
Canada Goose,"Poales [grasses, sedges, and allies]",58.65
Canada Goose,Unid. Animalia,0.06
Canada Goose,Unid. Magnoliopsida,0.33
Canada Goose,Unid. Tracheophyta,29.94
Trumpeter Swan,Alismatales [water plantains and allies],0.75
Trumpeter Swan,Coleoptera [beetles],0.25
Trumpeter Swan,Dicranales,15.0
Trumpeter Swan,Hypnales,17.0
Trumpeter Swan,"Poales [grasses, sedges, and allies]",0.25
Trumpeter Swan,"Ranunculales [buttercups, poppies, and allies]",65.5
Trumpeter Swan,Trichoptera [caddisflies],0.5
Trumpeter Swan,Unid. Gastropoda,0.25
Trumpeter Swan,Unid. Magnoliopsida,0.5
Tundra Swan,Alismatales [water plantains and allies],22.0
Tundra Swan,Nostocales,23.2
Tundra Swan,"Poales [grasses, sedges, and allies]",37.9
Tundra Swan,Unid. Arthropoda,1.3
Tundra Swan,Unid. Tracheophyta,15.6
Wood Duck,Alismatales [water plantains and allies],4.22
Wood Duck,Araneae [spiders],0.05
Wood Duck,"Asterales [asters, bellflowers, fanflowers, and allies]",0.07
Wood Duck,"Caryophyllales [pinks, cactuses, and allies]",3.03
Wood Duck,Coleoptera [beetles],2.37
Wood Duck,Commelinales [spiderworts and allies],3.64
Wood Duck,Decapoda [decapods],0.05
Wood Duck,"Dipsacales [honeysuckles, moschatels, and allies]",0.05
Wood Duck,Diptera [flies],0.99
Wood Duck,"Fabales [legumes, milkworts, and allies]",0.28
Wood Duck,"Fagales [beeches, oaks, walnuts, and allies]",2.14
Wood Duck,"Gentianales [gentians, dogbanes, madders, and allies]",0.18
Wood Duck,"Hemiptera [true bugs, hoppers, aphids, and allies]",0.3
Wood Duck,Isopoda [isopods],0.95
Wood Duck,"Lamiales [mints, plantains, olives, and allies]",0.1
Wood Duck,"Laurales [laurels, spicebushes, and allies]",0.05
Wood Duck,Lepidoptera larva [caterpillars],2.2
Wood Duck,Lepidoptera larva;adult,0.37
Wood Duck,"Malpighiales [nances, willows, and allies]",0.07
Wood Duck,"Myrtales [myrtles, evening primroses, and allies]",0.33
Wood Duck,"Neuroptera [antlions, lacewings, and allies]",0.15
Wood Duck,"Nymphaeales [water-lilies, fanworts, and allies]",4.08
Wood Duck,Odonata [dragonflies and damselflies],0.18
Wood Duck,"Orthoptera [grasshoppers, crickets, and katydids]",0.87
Wood Duck,Pinales [conifers],0.42
Wood Duck,"Poales [grasses, sedges, and allies]",14.74
Wood Duck,"Rosales [roses, elms, figs, and allies]",4.17
Wood Duck,"Sapindales [soapberries, cashews, mahoganies, and allies]",2.23
Wood Duck,"Saxifragales [saxifrages, stonecrops, and allies]",0.27
Wood Duck,Unid. Animalia,9.33
Wood Duck,Unid. Annelida,0.08
Wood Duck,Unid. Insecta,0.89
Wood Duck,Unid. Magnoliopsida,5.75
Wood Duck,Unid. Mollusca,0.3
Wood Duck,Unid. Tracheophyta,34.7
Wood Duck,Vitales,0.28
Gadwall,Alismatales [water plantains and allies],12.31
Gadwall,Anostraca [fairy shrimp],2.16
Gadwall,"Caryophyllales [pinks, cactuses, and allies]",0.66
Gadwall,Ceratophyllales [coontails],0.88
Gadwall,Charales,0.8
Gadwall,Coleoptera [beetles],0.5
Gadwall,Commelinales [spiderworts and allies],2.81
Gadwall,"Cornales [dogwoods, hydrangeas, and allies]",0.07
Gadwall,Diplostraca [clam shrimps and water fleas],0.9
Gadwall,Diplostraca egg [clam shrimps and water fleas],0.18
Gadwall,Diptera [flies],1.46
Gadwall,"Hemiptera [true bugs, hoppers, aphids, and allies]",0.18
Gadwall,Odonata [dragonflies and damselflies],0.16
Gadwall,"Poales [grasses, sedges, and allies]",9.98
Gadwall,"Saxifragales [saxifrages, stonecrops, and allies]",1.29
Gadwall,Unid. Animalia,4.03
Gadwall,Unid. Chlorophyceae,3.16
Gadwall,Unid. Gastropoda,0.25
Gadwall,Unid. Magnoliopsida,7.05
Gadwall,Unid. Maxillopoda,0.14
Gadwall,Unid. Ostracoda,0.33
Gadwall,Unid. Plantae,4.0
Gadwall,Unid. Tracheophyta,46.61
Eurasian Wigeon,Alismatales [water plantains and allies],24.0
Eurasian Wigeon,Charales,1.21
Eurasian Wigeon,"Lamiales [mints, plantains, olives, and allies]",0.63
Eurasian Wigeon,"Poales [grasses, sedges, and allies]",4.85
Eurasian Wigeon,"Ranunculales [buttercups, poppies, and allies]",3.8
Eurasian Wigeon,Ulvales [sea lettuces and allies],1.44
Eurasian Wigeon,Unid. Magnoliopsida,7.33
Eurasian Wigeon,Unid. Tracheophyta,56.73
American Wigeon,Alismatales [water plantains and allies],20.31
American Wigeon,"Caryophyllales [pinks, cactuses, and allies]",1.61
American Wigeon,Charales,0.58
American Wigeon,Cladophorales,0.15
American Wigeon,Coleoptera [beetles],0.7
American Wigeon,Commelinales [spiderworts and allies],1.06
American Wigeon,Diptera [flies],1.09
American Wigeon,"Fabales [legumes, milkworts, and allies]",0.99
American Wigeon,"Hemiptera [true bugs, hoppers, aphids, and allies]",0.64
American Wigeon,"Lamiales [mints, plantains, olives, and allies]",0.1
American Wigeon,Odonata [dragonflies and damselflies],1.02
American Wigeon,"Poales [grasses, sedges, and allies]",24.2
American Wigeon,"Ranunculales [buttercups, poppies, and allies]",2.19
American Wigeon,"Saxifragales [saxifrages, stonecrops, and allies]",0.93
American Wigeon,Trichoptera [caddisflies],1.61
